rep,n,cvd_rank,cvd_importance,pval_cvd,reject,error
28,200,15.0,0.0,0.4786797417214851,0,
28,500,15.0,0.0,0.013020881202092003,1,
28,1000,15.0,0.0,0.007017864777076718,1,
28,2000,9.0,0.0017578554163920016,0.016226451864776968,1,
28,5000,1.0,0.5076564162832782,6.798810535555303e-07,1,
30,200,15.0,0.0,0.1806203303740973,0,
30,500,15.0,0.0,0.39990497454705876,0,
30,1000,15.0,0.0,0.0029672139539820373,1,
30,2000,10.0,0.0014055808392000877,0.002414991598877044,1,
30,5000,1.0,0.4174701601124432,0.000230589966049657,1,
31,200,15.0,0.0,0.0025380332080484434,1,
31,500,15.0,0.0,0.004826627057986499,1,
31,1000,15.0,0.0,0.0016723371816576515,1,
31,2000,8.0,0.027746341463414634,1.1453383080252617e-05,1,
31,5000,1.0,0.5647866337441222,2.471990701414101e-07,1,
67,200,15.0,0.0,0.9850553687945016,0,
67,500,15.0,0.0,0.26156037486350897,0,
67,1000,15.0,0.0,0.050082177265981846,0,
67,2000,7.0,0.02318048780487805,0.0002472366197541658,1,
67,5000,1.0,0.6450424321990753,7.478731245286472e-18,1,
88,200,15.0,0.0,0.5009398808829529,0,
88,500,15.0,0.0,0.010220079936406876,1,
88,1000,15.0,0.0,0.0038743277441310934,1,
88,2000,7.0,0.0024585365853658538,4.04477645403064e-06,1,
88,5000,1.0,0.46722564973968284,7.007478546456117e-07,1,
0,200,15.0,0.0,0.008201496509128466,1,
0,500,15.0,0.0,0.03171158857636328,1,
0,1000,15.0,0.0,0.012074069151347094,1,
0,2000,8.0,0.005619512195121951,4.0481577830811297e-05,1,
0,5000,1.0,0.6461214001093415,2.176294924633229e-17,1,
32,200,15.0,0.0,0.24783976606172317,0,
32,500,15.0,0.0,0.003548539442074807,1,
32,1000,15.0,0.0,0.003344253786600848,1,
32,2000,10.0,0.0035121951219512196,0.00014081426664016992,1,
32,5000,1.0,0.6228897888172985,3.359499016624308e-13,1,
40,200,15.0,0.0,0.019590957968281367,1,
40,500,15.0,0.0,0.13700359344947724,0,
40,1000,15.0,0.0,0.0708581495824978,0,
40,2000,9.0,0.008429268292682927,2.9571372420529995e-09,1,
40,5000,1.0,0.5993820071671234,2.2789662471212924e-08,1,
49,200,15.0,0.0,0.8938248994593345,0,
49,500,15.0,0.0,0.0008866507765318016,1,
49,1000,15.0,0.0,0.530602990456772,0,
49,2000,7.0,0.015102439024390242,0.0025920449162522606,1,
49,5000,1.0,0.6429886086750711,6.206959509122987e-16,1,
59,200,15.0,0.0,0.6955675553530324,0,
59,500,15.0,0.0,0.026489428948256382,1,
59,1000,15.0,0.0,0.0013214065683362993,1,
59,2000,7.0,0.020721951219512192,0.0014924795307104182,1,
59,5000,1.0,0.5753068093407174,7.660378217840921e-10,1,
65,200,15.0,0.0,0.004438813878449065,1,
65,500,15.0,0.0,0.03218972738045936,1,
65,1000,15.0,0.0,0.07951563264525704,0,
65,2000,8.0,0.021073170731707315,5.884983239267336e-05,1,
65,5000,1.0,0.5830900605246159,8.602838705302317e-08,1,
66,200,15.0,0.0,0.8186064835899343,0,
66,500,15.0,0.0,0.031195968801227946,1,
66,1000,15.0,0.0,0.016637979405284813,1,
66,2000,7.0,0.026341463414634145,1.4150465514760937e-06,1,
66,5000,1.0,0.6185932419030061,6.908742151410959e-11,1,
95,200,15.0,0.0,0.08957177662494473,0,
95,500,15.0,0.0,0.9776008432384047,0,
95,1000,15.0,0.0,0.004099405558111393,1,
95,2000,7.0,0.011244646713600702,3.0464089902613016e-07,1,
95,5000,1.0,0.4870615060462584,3.6509799903562245e-08,1,
99,200,15.0,0.0,0.31946903874858446,0,
99,500,15.0,0.0,0.0153352496940383,1,
99,1000,15.0,0.0,0.007737822891013025,1,
99,2000,7.0,0.014048780487804878,0.005643643785780342,1,
99,5000,1.0,0.6322035652868998,6.639482514568746e-11,1,
17,200,15.0,0.0,0.12227303152800612,0,
17,500,15.0,0.0,0.3546000963579129,0,
17,1000,15.0,0.0,0.0516343062821169,0,
17,2000,7.0,0.032312195121951215,5.092613030803241e-06,1,
17,5000,1.0,0.5933877561415399,4.520110982211739e-10,1,
27,200,15.0,0.0,0.7709693364505054,0,
